Project,Observation Year,Observation Month/Day,Location,Species,Daily Count,Cumulative Count,Cumulative
Bonanza River Escapement,2018,08/12,Bonanza River,Chinook,1,1,10
Bonanza River Escapement,2018,08/13,Bonanza River,Chinook,0,0,10
Bonanza River Escapement,2018,08/14,Bonanza River,Chinook,0,0,10
Bonanza River Escapement,2018,08/15,Bonanza River,Chinook,0,0,10
Bonanza River Escapement,2018,08/16,Bonanza River,Chinook,0,0,10
Bonanza River Escapement,2018,08/17,Bonanza River,Chinook,0,0,10
Bonanza River Escapement,2018,08/18,Bonanza River,Chinook,1,1,11
Bonanza River Escapement,2018,08/19,Bonanza River,Chinook,0,0,11
Bonanza River Escapement,2019,06/29,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2019,06/30,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2019,07/01,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2019,07/02,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2019,07/09,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2019,07/10,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2019,07/11,Bonanza River,Chinook,3,3,3
Bonanza River Escapement,2019,07/12,Bonanza River,Chinook,2,2,5
Bonanza River Escapement,2019,07/13,Bonanza River,Chinook,1,1,6
Bonanza River Escapement,2019,07/14,Bonanza River,Chinook,0,0,6
Bonanza River Escapement,2019,07/15,Bonanza River,Chinook,1,1,7
Bonanza River Escapement,2019,07/16,Bonanza River,Chinook,0,0,7
Bonanza River Escapement,2019,07/17,Bonanza River,Chinook,0,0,7
Bonanza River Escapement,2019,07/18,Bonanza River,Chinook,0,0,7
Bonanza River Escapement,2019,07/19,Bonanza River,Chinook,0,0,7
Bonanza River Escapement,2019,07/20,Bonanza River,Chinook,0,0,7
Bonanza River Escapement,2019,07/21,Bonanza River,Chinook,0,0,7
Bonanza River Escapement,2019,07/22,Bonanza River,Chinook,1,1,8
Bonanza River Escapement,2019,07/23,Bonanza River,Chinook,0,0,8
Bonanza River Escapement,2019,07/24,Bonanza River,Chinook,0,0,8
Bonanza River Escapement,2019,07/25,Bonanza River,Chinook,0,0,8
Bonanza River Escapement,2019,07/27,Bonanza River,Chinook,0,0,8
Bonanza River Escapement,2019,07/28,Bonanza River,Chinook,0,0,8
Bonanza River Escapement,2019,07/29,Bonanza River,Chinook,0,0,8
Bonanza River Escapement,2019,07/30,Bonanza River,Chinook,0,0,8
Bonanza River Escapement,2020,06/25,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2020,06/26,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2020,06/27,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2020,06/28,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2020,06/29,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2020,06/30,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2020,07/01,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2020,07/02,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2020,07/03,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2020,07/04,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2020,07/05,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2020,07/06,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2020,07/07,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2020,07/08,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2020,07/09,Bonanza River,Chinook,0,0,0
Bonanza River Escapement,2020,07/10,Bonanza River,Chinook,1,1,1
Bonanza River Escapement,2020,07/11,Bonanza River,Chinook,5,5,6
Bonanza River Escapement,2020,07/12,Bonanza River,Chinook,1,1,7
Bonanza River Escapement,2020,07/13,Bonanza River,Chinook,0,0,7
Bonanza River Escapement,2020,07/14,Bonanza River,Chinook,1,1,8
Bonanza River Escapement,2020,07/15,Bonanza River,Chinook,0,0,8
Bonanza River Escapement,2020,07/16,Bonanza River,Chinook,0,0,8
Bonanza River Escapement,2020,07/17,Bonanza River,Chinook,0,0,8
Bonanza River Escapement,2020,07/18,Bonanza River,Chinook,7,7,15
Bonanza River Escapement,2020,07/19,Bonanza River,Chinook,0,0,15
Bonanza River Escapement,2020,07/20,Bonanza River,Chinook,0,0,15
Bonanza River Escapement,2020,07/21,Bonanza River,Chinook,0,0,15
Bonanza River Escapement,2020,07/22,Bonanza River,Chinook,0,0,15
Bonanza River Escapement,2020,07/23,Bonanza River,Chinook,0,0,15
Bonanza River Escapement,2020,07/24,Bonanza River,Chinook,0,0,15
Bonanza River Escapement,2020,07/25,Bonanza River,Chinook,0,0,15
Bonanza River Escapement,2020,07/26,Bonanza River,Chinook,0,0,15
Bonanza River Escapement,2020,07/27,Bonanza River,Chinook,0,0,15
